Country Name,Number of Businesses,,,,,,
Saudi Arabia,"6,836",,,,,,
Scotland,"193,960",,,,,,
Senegal,767,,,,,,
Seychelles,269,,,,,,
Sierra Leone,211,,,,,,
Singapore,"417,739",,,,,,
Slovakia,"567,564",,,,,,
Slovenia,"178,478",,,,,,
Solomon Islands,55,,,,,,
Somalia,177,,,,,,
South Africa,"262,294",,,,,,
Spain,"3,452,690",,,,,,
Sri Lanka,"2,283",,,,,,
St Helena,3,,,,,,
St Kitts-nevis,132,,,,,,
St Lucia,131,,,,,,
St Vincent,145,,,,,,
Sudan,249,,,,,,
Suriname,213,,,,,,
Swaziland,"1,166",,,,,,
Sweden,"1,290,949",,,,,,
Switzerland,"672,173",,,,,,
Syria,"1,799",,,,,,
Taiwan,"795,647",,,,,,
Tajikistan,218,,,,,,
Tanzania,"1,181",,,,,,
Thailand,"556,189",,,,,,
Togo,333,,,,,,
Tonga,50,,,,,,
Trinidad & Tobago,889,,,,,,
Tunisia,"101,304",,,,,,
Turkey,"324,554",,,,,,
Turkish Rep N Cyprus,278,,,,,,
Turkmenistan,68,,,,,,
Turks & Caicos Is,58,,,,,,
Tuvalu,2,,,,,,
Uganda,"1,242",,,,,,
Ukraine,"1,008,601",,,,,,
United Arab Emirates,"31,622",,,,,,
Uruguay,"2,260",,,,,,
Usa,"17,416,250",,,,,,
Uzbekistan,379,,,,,,
Vanuatu,74,,,,,,
Venezuela,"2,894",,,,,,
Vietnam,"698,177",,,,,,
Virgin Islands Uk,"3,670",,,,,,
Wake Island,2,,,,,,
Wales,"105,880",,,,,,
Yemen,882,,,,,,
Zambia,669,,,,,,
Zimbabwe,416,,,,,,
